name_condition__	condition_name	KEY_PRESS_TIME	DISPLAY_ON_TIME	stimulus	emotion	gaze_direct	targ_code	trial_type	RESPONSE_ACCURACY	RESPONSE_TIME	orientation	pict1t	pict2t	pict3t	block	name_trial__	pict1	pict2	pict3	targ	expected_answer	jitter	KEY_PRESS	task
1	fear_cong	196592.48	196231.06	M2	fear	R	RT	C	hit	361	up	300	100	400	1	9	M2_n_s.bmp	M2_n_r.bmp	M2_f_r.bmp	TR.bmp	Down	500	Down	localization
6	angry_incong	198439.90	198047.68	M27b	angry	L	RT	I	hit	392	up	300	100	100	1	438	M27b_n_s.bmp	M27b_n_l.bmp	M27b_n_l_t.bmp	TR.bmp	Down	800	Down	localization
7	happy_incong	200271.53	199897.61	M9b	happy	R	LT	I	hit	373	up	300	100	100	1	375	M9b_n_s.bmp	M9b_n_r.bmp	M9b_h_r.bmp	LL.bmp	Up	800	Up	localization
8	neutral_incong	201840.53	201447.55	M27b	neutral	R	LT	I	hit	392	up	300	100	100	1	312	M27b_n_s.bmp	M27b_n_r.bmp	M27b_n_r.bmp	TL.bmp	Up	500	Up	localization
5	fear_incong	203654.79	203297.49	M9	fear	R	LT	I	hit	357	up	300	100	100	1	117	M9_n_s.bmp	M9_n_r.bmp	M9_f_r.bmp	LL.bmp	Up	800	Up	localization
4	neutral_cong	205624.68	205314.10	M6	neutral	R	RT	C	hit	310	up	300	100	400	1	108	M6_n_s.bmp	M6_n_r.bmp	M6_n_r.bmp	LR.bmp	Down	700	Down	localization
5	fear_incong	207511.70	207180.70	M2b	fear	L	RT	I	hit	331	up	300	100	400	1	461	M2b_n_s.bmp	M2b_n_l.bmp	M2b_f_l.bmp	LR.bmp	Down	600	Down	localization
8	neutral_incong	209344.70	208980.62	M2	neutral	R	LT	I	hit	364	up	300	100	100	1	8	M2_n_s.bmp	M2_n_r.bmp	M2_n_r.bmp	TL.bmp	Up	800	Up	localization
7	happy_incong	210944.73	210613.90	M22b	happy	L	RT	I	hit	330	up	300	100	100	1	407	M22b_n_s.bmp	M22b_n_l.bmp	M22b_h_l.bmp	TR.bmp	Down	600	Down	localization
4	neutral_cong	212928.44	212613.84	M2	neutral	L	LT	C	hit	314	up	300	100	400	1	140	M2_n_s.bmp	M2_n_l.bmp	M2_n_l.bmp	TL.bmp	Up	700	Up	localization
4	neutral_cong	214759.26	214380.45	M24b	neutral	L	LT	C	hit	378	up	300	100	100	1	420	M24b_n_s.bmp	M24b_n_l.bmp	M24b_n_l.bmp	TL.bmp	Up	800	Up	localization
4	neutral_cong	216528.31	216230.38	M3b	neutral	R	RT	C	hit	297	up	300	100	100	1	340	M3b_n_s.bmp	M3b_n_r.bmp	M3b_n_r.bmp	LR.bmp	Down	800	Down	localization
2	angry_cong	218031.89	217697.01	M20b	angry	L	LT	C	hit	334	up	300	100	100	1	386	M20b_n_s.bmp	M20b_n_l.bmp	M20b_n_l_t.bmp	TL.bmp	Up	500	Up	localization
5	fear_incong	219672.39	219396.94	M27b	fear	L	RT	I	hit	275	up	300	100	100	1	437	M27b_n_s.bmp	M27b_n_l.bmp	M27b_f_l.bmp	TR.bmp	Down	700	Down	localization
8	neutral_incong	221655.39	221330.20	M9	neutral	R	LT	I	hit	325	up	300	100	400	1	128	M9_n_s.bmp	M9_n_r.bmp	M9_n_r.bmp	LL.bmp	Up	700	Up	localization
3	happy_cong	223360.41	222930.15	M20b	happy	L	LT	C	hit	430	up	300	100	100	1	387	M20b_n_s.bmp	M20b_n_l.bmp	M20b_h_l.bmp	TL.bmp	Up	600	Up	localization
3	happy_cong	224848.56	224530.09	M2b	happy	R	RT	C	hit	318	up	300	100	100	1	323	M2b_n_s.bmp	M2b_n_r.bmp	M2b_h_r.bmp	LR.bmp	Down	500	Down	localization
6	angry_incong	226927.88	226613.37	M27b	angry	L	RT	I	hit	314	up	300	100	400	1	446	M27b_n_s.bmp	M27b_n_l.bmp	M27b_n_l_t.bmp	TR.bmp	Down	800	Down	localization
6	angry_incong	228696.10	228296.63	M24b	angry	R	LT	I	hit	399	up	300	100	100	1	294	M24b_n_s.bmp	M24b_n_r.bmp	M24b_n_r_t.bmp	TL.bmp	Up	700	Up	localization
2	angry_cong	230448.73	230146.57	M3	angry	R	RT	C	hit	302	up	300	100	100	1	82	M3_n_s.bmp	M3_n_r.bmp	M3_n_r_t.bmp	LR.bmp	Down	800	Down	localization
2	angry_cong	232423.67	232113.18	M2b	angry	L	LT	C	hit	310	up	300	100	400	1	458	M2b_n_s.bmp	M2b_n_l.bmp	M2b_n_l_t.bmp	LL.bmp	Up	700	Up	localization
3	happy_cong	233999.47	233579.80	M27	happy	L	LT	C	hit	419	up	300	100	100	1	195	M27_n_s.bmp	M27_n_l.bmp	M27_h_l.bmp	LL.bmp	Up	500	Up	localization
2	angry_cong	235479.79	235163.08	M24	angry	R	RT	C	hit	316	up	300	100	100	1	50	M24_n_s.bmp	M24_n_r.bmp	M24_n_r_t.bmp	TR.bmp	Down	500	Down	localization
