name_condition__	condition_name	KEY_PRESS_TIME	DISPLAY_ON_TIME	stimulus	emotion	gaze_direct	targ_code	trial_type	RESPONSE_ACCURACY	RESPONSE_TIME	orientation	pict1t	pict2t	pict3t	block	name_trial__	pict1	pict2	pict3	targ	expected_answer	jitter	KEY_PRESS	task
2	angry_cong	230081.12	229500.08	M3	angry	L	LT	C	hit	581	up	300	100	100	2	722	M3_n_s.bmp	M3_n_l.bmp	M3_n_l_t.bmp	LL.bmp	Down	500	Down	localization
4	neutral_cong	231962.52	231550.01	M9	neutral	R	RT	C	hit	412	up	300	100	400	2	636	M9_n_s.bmp	M9_n_r.bmp	M9_n_r.bmp	LR.bmp	Up	500	Up	localization
2	angry_cong	233961.57	233533.28	M22b	angry	R	RT	C	hit	428	up	300	100	400	2	794	M22b_n_s.bmp	M22b_n_r.bmp	M22b_n_r_t.bmp	TR.bmp	Up	600	Up	localization
2	angry_cong	235538.96	235133.22	M3b	angry	L	LT	C	hit	405	up	300	100	100	2	978	M3b_n_s.bmp	M3b_n_l.bmp	M3b_n_l_t.bmp	LL.bmp	Down	500	Down	localization
1	fear_cong	237386.10	237016.51	M22b	fear	L	LT	C	hit	369	up	300	100	100	2	913	M22b_n_s.bmp	M22b_n_l.bmp	M22b_f_l.bmp	TL.bmp	Down	800	Down	localization
5	fear_incong	239266.70	238849.78	M3	fear	R	LT	I	hit	416	up	300	100	400	2	605	M3_n_s.bmp	M3_n_r.bmp	M3_f_r.bmp	LL.bmp	Down	500	Down	localization
6	angry_incong	241130.65	240733.03	M22b	angry	L	RT	I	hit	397	up	300	100	400	2	926	M22b_n_s.bmp	M22b_n_l.bmp	M22b_n_l_t.bmp	TR.bmp	Up	500	Up	localization
6	angry_incong	243145.60	242699.63	M9b	angry	L	RT	I	hit	445	up	300	100	400	2	1022	M9b_n_s.bmp	M9b_n_l.bmp	M9b_n_l_t.bmp	LR.bmp	Up	600	Up	localization
5	fear_incong	244825.26	244316.26	M24	fear	L	RT	I	hit	508	up	300	100	100	2	693	M24_n_s.bmp	M24_n_l.bmp	M24_f_l.bmp	TR.bmp	Up	500	Up	localization
8	neutral_incong	246962.35	246582.84	M22b	neutral	R	LT	I	hit	379	up	300	100	400	2	800	M22b_n_s.bmp	M22b_n_r.bmp	M22b_n_r.bmp	TL.bmp	Down	800	Down	localization
4	neutral_cong	248961.72	248616.12	M22b	neutral	L	LT	C	hit	345	up	300	100	400	2	924	M22b_n_s.bmp	M22b_n_l.bmp	M22b_n_l.bmp	TL.bmp	Down	700	Down	localization
7	happy_incong	250554.40	250132.73	M3b	happy	R	LT	I	hit	421	up	300	100	100	2	855	M3b_n_s.bmp	M3b_n_r.bmp	M3b_h_r.bmp	LL.bmp	Down	500	Down	localization
5	fear_incong	252337.87	251916.00	M2b	fear	R	LT	I	hit	421	up	300	100	100	2	837	M2b_n_s.bmp	M2b_n_r.bmp	M2b_f_r.bmp	LL.bmp	Down	700	Down	localization
3	happy_cong	254146.51	253799.28	M6b	happy	L	LT	C	hit	347	up	300	100	400	2	1003	M6b_n_s.bmp	M6b_n_l.bmp	M6b_h_l.bmp	LL.bmp	Down	500	Down	localization
2	angry_cong	256249.74	255915.86	M24b	angry	L	LT	C	hit	333	up	300	100	400	2	938	M24b_n_s.bmp	M24b_n_l.bmp	M24b_n_l_t.bmp	TL.bmp	Down	800	Down	localization
4	neutral_cong	258305.97	257915.80	M6b	neutral	R	RT	C	hit	390	up	300	100	400	2	876	M6b_n_s.bmp	M6b_n_r.bmp	M6b_n_r.bmp	LR.bmp	Up	700	Up	localization
6	angry_incong	259954.59	259482.43	M27	angry	R	LT	I	hit	472	up	300	100	100	2	582	M27_n_s.bmp	M27_n_r.bmp	M27_n_r_t.bmp	LL.bmp	Down	500	Down	localization
2	angry_cong	261722.52	261332.36	M22b	angry	L	LT	C	hit	390	up	300	100	100	2	914	M22b_n_s.bmp	M22b_n_l.bmp	M22b_n_l_t.bmp	TL.bmp	Down	700	Down	localization
8	neutral_incong	263538.32	263082.30	M24	neutral	R	LT	I	hit	456	up	300	100	100	2	568	M24_n_s.bmp	M24_n_r.bmp	M24_n_r.bmp	TL.bmp	Down	700	Down	localization
1	fear_cong	265617.43	265315.55	M6b	fear	R	RT	C	hit	301	up	300	100	400	2	873	M6b_n_s.bmp	M6b_n_r.bmp	M6b_f_r.bmp	LR.bmp	Up	800	Up	localization
7	happy_incong	267481.88	266965.51	M6b	happy	L	RT	I	hit	516	up	300	100	100	2	999	M6b_n_s.bmp	M6b_n_l.bmp	M6b_h_l.bmp	LR.bmp	Up	700	Up	localization
1	fear_cong	269354.92	268848.78	M24b	fear	L	LT	C	hit	506	up	300	100	100	2	929	M24b_n_s.bmp	M24b_n_l.bmp	M24b_f_l.bmp	TL.bmp	Down	700	Down	localization
7	happy_incong	271249.88	270832.03	M9	happy	R	LT	I	hit	417	up	300	100	100	2	631	M9_n_s.bmp	M9_n_r.bmp	M9_h_r.bmp	LL.bmp	Down	800	Down	localization
8	neutral_incong	273193.29	272715.30	M27b	neutral	R	LT	I	hit	477	up	300	100	400	2	832	M27b_n_s.bmp	M27b_n_r.bmp	M27b_n_r.bmp	TL.bmp	Down	500	Down	localization
