"orig_trial","soa","Xloc","RT","trial_nr","target_loc","gaze_dir","resp_dir","cond","congr","correct","su"
94,500,510,414.26,1,"Right","Right","Right","Head shift","Congruent",1,"su1"
18,900,510,387.9,2,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
52,500,510,471.21,3,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
26,100,510,487.54,4,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
32,100,510,507.41,5,"Right","Left","Right","Head shift","Incongruent",1,"su1"
76,500,510,328.9,6,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
54,900,510,453.56,7,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
77,900,510,369.36,8,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
81,500,510,350.04,9,"Left","Left","Left","Head shift","Congruent",1,"su1"
9,500,510,348.28,10,"Left","Left","Left","Head shift","Congruent",1,"su1"
22,500,510,414.9,11,"Right","Right","Right","Head shift","Congruent",1,"su1"
41,900,510,313.22,12,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
84,900,510,363.59,13,"Right","Left","Right","Head shift","Incongruent",1,"su1"
85,100,510,478.98,14,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
78,900,510,343.74,15,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
93,500,510,348.94,16,"Left","Right","Left","Head shift","Incongruent",1,"su1"
13,100,510,371.39,17,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
62,100,510,523.25,18,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
65,900,510,349.55,19,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
87,500,510,368.04,20,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
72,900,510,326.82,21,"Right","Right","Right","Head shift","Congruent",1,"su1"
67,100,510,447.03,22,"Left","Right","Left","Head shift","Incongruent",1,"su1"
37,100,510,359.63,23,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
96,900,510,400.3,24,"Right","Right","Right","Head shift","Congruent",1,"su1"
61,100,510,475.74,25,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
63,500,510,371.46,26,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
35,900,510,366.41,27,"Left","Left","Left","Head shift","Congruent",1,"su1"
30,900,510,376.28,28,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
33,500,510,361.77,29,"Left","Left","Left","Head shift","Congruent",1,"su1"
12,900,510,602.55,30,"Right","Left","Right","Head shift","Incongruent",1,"su1"
57,500,510,313.13,31,"Left","Left","Left","Head shift","Congruent",1,"su1"
11,900,510,330.58,32,"Left","Left","Left","Head shift","Congruent",1,"su1"
7,100,510,527.51,33,"Left","Left","Left","Head shift","Congruent",1,"su1"
20,100,510,399.98,34,"Right","Right","Right","Head shift","Congruent",1,"su1"
60,900,510,317.13,35,"Right","Left","Right","Head shift","Incongruent",1,"su1"
69,500,510,311.46,36,"Left","Right","Left","Head shift","Incongruent",1,"su1"
31,100,510,361.84,37,"Left","Left","Left","Head shift","Congruent",1,"su1"
86,100,510,333.43,38,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
55,100,510,286.52,39,"Left","Left","Left","Head shift","Congruent",1,"su1"
71,900,510,266.92,40,"Left","Right","Left","Head shift","Incongruent",1,"su1"
47,900,510,311.87,41,"Left","Right","Left","Head shift","Incongruent",1,"su1"
17,900,510,310.47,42,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
45,500,510,349.52,43,"Left","Right","Left","Head shift","Incongruent",1,"su1"
88,500,510,339.96,44,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
43,100,510,431.53,45,"Left","Right","Left","Head shift","Incongruent",1,"su1"
42,900,510,360.11,46,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
75,500,510,318.5,47,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
79,100,510,359.66,48,"Left","Left","Left","Head shift","Congruent",1,"su1"
95,900,510,283.85,49,"Left","Right","Left","Head shift","Incongruent",1,"su1"
27,500,510,359.56,50,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
1,100,510,315.47,51,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
25,100,510,368.35,52,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
56,100,510,450.18,53,"Right","Left","Right","Head shift","Incongruent",1,"su1"
58,500,510,422.87,54,"Right","Left","Right","Head shift","Incongruent",1,"su1"
68,100,510,378.31,55,"Right","Right","Right","Head shift","Congruent",1,"su1"
44,100,510,274.24,56,"Right","Right","Right","Head shift","Congruent",1,"su1"
36,900,510,343.06,57,"Right","Left","Right","Head shift","Incongruent",1,"su1"
14,100,510,459.75,58,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
66,900,510,450.15,59,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
82,500,510,331.41,60,"Right","Left","Right","Head shift","Incongruent",1,"su1"
5,900,510,403.21,61,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
49,100,510,295.35,62,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
15,500,510,331.59,63,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
74,100,510,369.96,64,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
10,500,510,277.24,65,"Right","Left","Right","Head shift","Incongruent",1,"su1"
21,500,510,314.45,66,"Left","Right","Left","Head shift","Incongruent",1,"su1"
59,900,510,277.87,67,"Left","Left","Left","Head shift","Congruent",1,"su1"
6,900,510,259.62,68,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
38,100,510,362.2,69,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
46,500,510,335.12,70,"Right","Right","Right","Head shift","Congruent",1,"su1"
28,500,510,335.16,71,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
23,900,510,332.24,72,"Left","Right","Left","Head shift","Incongruent",1,"su1"
64,500,510,421.1,73,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
91,100,510,427.66,74,"Left","Right","Left","Head shift","Incongruent",1,"su1"
3,500,510,338.31,75,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
16,500,510,320.93,76,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
83,900,510,386.04,77,"Left","Left","Left","Head shift","Congruent",1,"su1"
40,500,510,276.33,78,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
80,100,510,360.12,79,"Right","Left","Right","Head shift","Incongruent",1,"su1"
19,100,510,382.67,80,"Left","Right","Left","Head shift","Incongruent",1,"su1"
90,900,510,324.04,81,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
8,100,510,444.13,82,"Right","Left","Right","Head shift","Incongruent",1,"su1"
2,100,510,371.75,83,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
29,900,510,195.35,84,"Left","Left","Right","Gaze shift","Congruent",0,"su1"
50,100,510,453.5,85,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
53,900,510,375.16,86,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
48,900,510,357.27,87,"Right","Right","Right","Head shift","Congruent",1,"su1"
34,500,510,386.64,88,"Right","Left","Right","Head shift","Incongruent",1,"su1"
4,500,510,403.57,89,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
92,100,510,354.77,90,"Right","Right","Right","Head shift","Congruent",1,"su1"
70,500,510,371.15,91,"Right","Right","Right","Head shift","Congruent",1,"su1"
89,900,510,322.84,92,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
51,500,510,350.24,93,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
73,100,510,542.48,94,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
24,900,510,353.39,95,"Right","Right","Right","Head shift","Congruent",1,"su1"
39,500,510,388.89,96,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
92,100,510,428.86,1,"Right","Right","Right","Head shift","Congruent",1,"su1"
60,900,510,332.3,2,"Right","Left","Right","Head shift","Incongruent",1,"su1"
25,100,510,419.9,3,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
47,900,510,335.44,4,"Left","Right","Left","Head shift","Incongruent",1,"su1"
53,900,510,377.62,5,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
86,100,510,540.56,6,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
73,100,510,328.56,7,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
23,900,510,295.92,8,"Left","Right","Left","Head shift","Incongruent",1,"su1"
40,500,510,565.56,9,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
13,100,510,321.32,10,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
83,900,510,344.13,11,"Left","Left","Left","Head shift","Congruent",1,"su1"
59,900,510,354.34,12,"Left","Left","Left","Head shift","Congruent",1,"su1"
34,500,510,410.51,13,"Right","Left","Right","Head shift","Incongruent",1,"su1"
70,500,510,379.84,14,"Right","Right","Right","Head shift","Congruent",1,"su1"
81,500,510,351.31,15,"Left","Left","Left","Head shift","Congruent",1,"su1"
66,900,510,379.73,16,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
89,900,510,379.08,17,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
18,900,510,336.19,18,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
31,100,510,487.92,19,"Left","Left","Left","Head shift","Congruent",1,"su1"
68,100,510,395.19,20,"Right","Right","Right","Head shift","Congruent",1,"su1"
8,100,510,378.06,21,"Right","Left","Right","Head shift","Incongruent",1,"su1"
24,900,510,343.1,22,"Right","Right","Right","Head shift","Congruent",1,"su1"
11,900,510,341.69,23,"Left","Left","Left","Head shift","Congruent",1,"su1"
38,100,510,470.13,24,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
48,900,510,361.11,25,"Right","Right","Right","Head shift","Congruent",1,"su1"
17,900,510,297.36,26,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
1,100,510,425.72,27,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
71,900,510,339.06,28,"Left","Right","Left","Head shift","Incongruent",1,"su1"
22,500,510,389.96,29,"Right","Right","Right","Head shift","Congruent",1,"su1"
61,100,510,477.64,30,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
80,100,510,443.76,31,"Right","Left","Right","Head shift","Incongruent",1,"su1"
95,900,510,333.96,32,"Left","Right","Left","Head shift","Incongruent",1,"su1"
36,900,510,445.56,33,"Right","Left","Right","Head shift","Incongruent",1,"su1"
2,100,510,625.85,34,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
7,100,510,363.18,35,"Left","Left","Left","Head shift","Congruent",1,"su1"
91,100,510,400.13,36,"Left","Right","Left","Head shift","Incongruent",1,"su1"
93,500,510,377.3,37,"Left","Right","Left","Head shift","Incongruent",1,"su1"
35,900,510,532.29,38,"Left","Left","Left","Head shift","Congruent",1,"su1"
64,500,510,347.16,39,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
79,100,510,442.72,40,"Left","Left","Left","Head shift","Congruent",1,"su1"
15,500,510,304.44,41,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
39,500,510,305.93,42,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
32,100,510,495.93,43,"Right","Left","Right","Head shift","Incongruent",1,"su1"
54,900,510,306.7,44,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
21,500,510,318.02,45,"Left","Right","Left","Head shift","Incongruent",1,"su1"
90,900,510,326.54,46,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
96,900,510,344.68,47,"Right","Right","Right","Head shift","Congruent",1,"su1"
88,500,510,360.99,48,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
51,500,510,364.96,49,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
16,500,510,282.57,50,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
28,500,510,350.01,51,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
94,500,510,340.15,52,"Right","Right","Right","Head shift","Congruent",1,"su1"
65,900,510,373.71,53,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
14,100,510,423.52,54,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
5,900,510,354.76,55,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
63,500,510,372.8,56,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
78,900,510,401.08,57,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
67,100,510,447.62,58,"Left","Right","Left","Head shift","Incongruent",1,"su1"
3,500,510,382.63,59,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
72,900,510,373.63,60,"Right","Right","Right","Head shift","Congruent",1,"su1"
10,500,510,450.19,61,"Right","Left","Right","Head shift","Incongruent",1,"su1"
69,500,510,364.05,62,"Left","Right","Left","Head shift","Incongruent",1,"su1"
41,900,510,358.66,63,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
58,500,510,318.29,64,"Right","Left","Right","Head shift","Incongruent",1,"su1"
87,500,510,438.34,65,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
45,500,510,314.34,66,"Left","Right","Left","Head shift","Incongruent",1,"su1"
74,100,510,431.55,67,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
26,100,510,574.03,68,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
4,500,510,370.17,69,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
55,100,510,408.44,70,"Left","Left","Left","Head shift","Congruent",1,"su1"
44,100,510,322.47,71,"Right","Right","Right","Head shift","Congruent",1,"su1"
30,900,510,398.87,72,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
33,500,510,452.09,73,"Left","Left","Left","Head shift","Congruent",1,"su1"
19,100,510,408.17,74,"Left","Right","Left","Head shift","Incongruent",1,"su1"
82,500,510,458.78,75,"Right","Left","Right","Head shift","Incongruent",1,"su1"
57,500,510,381.59,76,"Left","Left","Left","Head shift","Congruent",1,"su1"
50,100,510,474.16,77,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
56,100,510,461.76,78,"Right","Left","Right","Head shift","Incongruent",1,"su1"
46,500,510,351.41,79,"Right","Right","Right","Head shift","Congruent",1,"su1"
37,100,510,479.9,80,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
27,500,510,336.97,81,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
6,900,510,352.86,82,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
76,500,510,378.03,83,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
85,100,510,439.68,84,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
20,100,510,529.06,85,"Right","Right","Right","Head shift","Congruent",1,"su1"
77,900,510,335.83,86,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
29,900,510,345.72,87,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
75,500,510,467.51,88,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
9,500,510,335.63,89,"Left","Left","Left","Head shift","Congruent",1,"su1"
52,500,510,424.47,90,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
43,100,510,450.56,91,"Left","Right","Left","Head shift","Incongruent",1,"su1"
12,900,510,394.15,92,"Right","Left","Right","Head shift","Incongruent",1,"su1"
84,900,510,411.07,93,"Right","Left","Right","Head shift","Incongruent",1,"su1"
62,100,510,463.24,94,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
49,100,510,347.69,95,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
42,900,510,364.97,96,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
76,500,510,425.89,1,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
78,900,510,383.06,2,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
39,500,510,366.55,3,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
45,500,510,1936.77,4,"Left","Right","Left","Head shift","Incongruent",1,"su2"
19,100,510,412.81,5,"Left","Right","Left","Head shift","Incongruent",1,"su2"
57,500,510,394.95,6,"Left","Left","Left","Head shift","Congruent",1,"su2"
43,100,510,460.24,7,"Left","Right","Left","Head shift","Incongruent",1,"su2"
26,100,510,408.14,8,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
61,100,510,355.04,9,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
93,500,510,379.13,10,"Left","Right","Left","Head shift","Incongruent",1,"su2"
51,500,510,388.06,11,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
59,900,510,307.72,12,"Left","Left","Left","Head shift","Congruent",1,"su2"
85,100,510,435.16,13,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
46,500,510,320.04,14,"Right","Right","Right","Head shift","Congruent",1,"su2"
58,500,510,359.06,15,"Right","Left","Right","Head shift","Incongruent",1,"su2"
96,900,510,343.22,16,"Right","Right","Right","Head shift","Congruent",1,"su2"
53,900,510,348.75,17,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
17,900,510,353.41,18,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
8,100,510,333.46,19,"Right","Left","Right","Head shift","Incongruent",1,"su2"
25,100,510,412.33,20,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
16,500,510,363.14,21,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
64,500,510,294.31,22,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
66,900,510,506.51,23,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
86,100,510,393.46,24,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
71,900,510,451.4,25,"Left","Right","Left","Head shift","Incongruent",1,"su2"
29,900,510,362.42,26,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
77,900,510,337.86,27,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
89,900,510,324.04,28,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
23,900,510,276.57,29,"Left","Right","Left","Head shift","Incongruent",1,"su2"
65,900,510,369.4,30,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
22,500,510,332.98,31,"Right","Right","Right","Head shift","Congruent",1,"su2"
44,100,510,379.89,32,"Right","Right","Right","Head shift","Congruent",1,"su2"
70,500,510,371.92,33,"Right","Right","Right","Head shift","Congruent",1,"su2"
67,100,510,388.72,34,"Left","Right","Left","Head shift","Incongruent",1,"su2"
48,900,510,286.1,35,"Right","Right","Right","Head shift","Congruent",1,"su2"
69,500,510,317.22,36,"Left","Right","Left","Head shift","Incongruent",1,"su2"
60,900,510,386.48,37,"Right","Left","Right","Head shift","Incongruent",1,"su2"
87,500,510,373.15,38,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
14,100,510,389.13,39,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
21,500,510,287.56,40,"Left","Right","Left","Head shift","Incongruent",1,"su2"
73,100,510,718.32,41,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
32,100,510,321.36,42,"Right","Left","Right","Head shift","Incongruent",1,"su2"
27,500,510,297.45,43,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
37,100,510,327.35,44,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
35,900,510,333.51,45,"Left","Left","Left","Head shift","Congruent",1,"su2"
12,900,510,357.35,46,"Right","Left","Right","Head shift","Incongruent",1,"su2"
90,900,510,302.13,47,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
28,500,510,348.95,48,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
95,900,510,304.32,49,"Left","Right","Left","Head shift","Incongruent",1,"su2"
31,100,510,583.27,50,"Left","Left","Left","Head shift","Congruent",1,"su2"
92,100,510,407.14,51,"Right","Right","Right","Head shift","Congruent",1,"su2"
74,100,510,453.52,52,"Right","Left","Left","Gaze shift","Incongruent",0,"su2"
7,100,510,613.49,53,"Left","Left","Left","Head shift","Congruent",1,"su2"
50,100,510,372.26,54,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
94,500,510,321.45,55,"Right","Right","Right","Head shift","Congruent",1,"su2"
81,500,510,355.39,56,"Left","Left","Left","Head shift","Congruent",1,"su2"
30,900,510,310.59,57,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
40,500,510,355.15,58,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
9,500,510,308.89,59,"Left","Left","Left","Head shift","Congruent",1,"su2"
56,100,510,363.16,60,"Right","Left","Right","Head shift","Incongruent",1,"su2"
75,500,510,493.08,61,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
5,900,510,405.75,62,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
91,100,510,504.46,63,"Left","Right","Left","Head shift","Incongruent",1,"su2"
34,500,510,313.73,64,"Right","Left","Right","Head shift","Incongruent",1,"su2"
10,500,510,586.19,65,"Right","Left","Right","Head shift","Incongruent",1,"su2"
62,100,510,426.79,66,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
33,500,510,298.08,67,"Left","Left","Left","Head shift","Congruent",1,"su2"
15,500,510,325.51,68,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
55,100,510,389.53,69,"Left","Left","Left","Head shift","Congruent",1,"su2"
36,900,510,313.84,70,"Right","Left","Right","Head shift","Incongruent",1,"su2"
1,100,510,343.33,71,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
54,900,510,282.89,72,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
3,500,510,342.52,73,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
20,100,510,270.3,74,"Right","Right","Right","Head shift","Congruent",1,"su2"
79,100,510,294.7,75,"Left","Left","Left","Head shift","Congruent",1,"su2"
38,100,510,330.96,76,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
72,900,510,312.62,77,"Right","Right","Right","Head shift","Congruent",1,"su2"
88,500,510,387.67,78,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
11,900,510,385.79,79,"Left","Left","Left","Head shift","Congruent",1,"su2"
4,500,510,342.77,80,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
82,500,510,350.22,81,"Right","Left","Right","Head shift","Incongruent",1,"su2"
18,900,510,315.22,82,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
47,900,510,273.95,83,"Left","Right","Left","Head shift","Incongruent",1,"su2"
13,100,510,432.36,84,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
52,500,510,348.74,85,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
83,900,510,348.46,86,"Left","Left","Left","Head shift","Congruent",1,"su2"
24,900,510,333.18,87,"Right","Right","Right","Head shift","Congruent",1,"su2"
68,100,510,453.89,88,"Right","Right","Right","Head shift","Congruent",1,"su2"
63,500,510,372.31,89,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
41,900,510,295.58,90,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
6,900,510,311.59,91,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
42,900,510,377.2,92,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
80,100,510,459.55,93,"Right","Left","Right","Head shift","Incongruent",1,"su2"
2,100,510,388.86,94,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
49,100,510,401.89,95,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
84,900,510,320.8,96,"Right","Left","Right","Head shift","Incongruent",1,"su2"
35,900,510,623.23,1,"Left","Left","Left","Head shift","Congruent",1,"su2"
56,100,510,326.36,2,"Right","Left","Right","Head shift","Incongruent",1,"su2"
11,900,510,312.4,3,"Left","Left","Left","Head shift","Congruent",1,"su2"
20,100,510,372.72,4,"Right","Right","Right","Head shift","Congruent",1,"su2"
70,500,510,268.11,5,"Right","Right","Right","Head shift","Congruent",1,"su2"
44,100,510,381.73,6,"Right","Right","Right","Head shift","Congruent",1,"su2"
58,500,510,318.67,7,"Right","Left","Right","Head shift","Incongruent",1,"su2"
83,900,510,296.45,8,"Left","Left","Left","Head shift","Congruent",1,"su2"
23,900,510,349.85,9,"Left","Right","Left","Head shift","Incongruent",1,"su2"
96,900,510,330.84,10,"Right","Right","Right","Head shift","Congruent",1,"su2"
51,500,510,232.02,11,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
7,100,510,427.66,12,"Left","Left","Left","Head shift","Congruent",1,"su2"
73,100,510,357.91,13,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
38,100,510,288.14,14,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
59,900,510,254.78,15,"Left","Left","Left","Head shift","Congruent",1,"su2"
45,500,510,309.02,16,"Left","Right","Left","Head shift","Incongruent",1,"su2"
81,500,510,314.72,17,"Left","Left","Left","Head shift","Congruent",1,"su2"
1,100,510,316.46,18,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
72,900,510,310.12,19,"Right","Right","Right","Head shift","Congruent",1,"su2"
53,900,510,368.15,20,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
46,500,510,397.48,21,"Right","Right","Right","Head shift","Congruent",1,"su2"
29,900,510,322.29,22,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
95,900,510,314.43,23,"Left","Right","Left","Head shift","Incongruent",1,"su2"
10,500,510,328.63,24,"Right","Left","Right","Head shift","Incongruent",1,"su2"
28,500,510,385.38,25,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
3,500,510,266.7,26,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
62,100,510,396.99,27,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
25,100,510,328.79,28,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
93,500,510,23.16,29,"Left","Right","Right","Head shift","Incongruent",0,"su2"
79,100,510,316.71,30,"Left","Left","Left","Head shift","Congruent",1,"su2"
54,900,510,294.25,31,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
40,500,510,367.37,32,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
16,500,510,376.63,33,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
55,100,510,425.83,34,"Left","Left","Left","Head shift","Congruent",1,"su2"
36,900,510,326.2,35,"Right","Left","Right","Head shift","Incongruent",1,"su2"
2,100,510,424.24,36,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
78,900,510,459.36,37,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
24,900,510,332.49,38,"Right","Right","Right","Head shift","Congruent",1,"su2"
60,900,510,405.74,39,"Right","Left","Right","Head shift","Incongruent",1,"su2"
63,500,510,366.11,40,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
47,900,510,397.27,41,"Left","Right","Left","Head shift","Incongruent",1,"su2"
75,500,510,507.51,42,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
32,100,510,379.63,43,"Right","Left","Right","Head shift","Incongruent",1,"su2"
30,900,510,389.76,44,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
65,900,510,290.06,45,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
18,900,510,351.73,46,"Right","Right","Right","Gaze shift","Congruent",1,"su2"
5,900,510,385.15,47,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
19,100,510,388.22,48,"Left","Right","Left","Head shift","Incongruent",1,"su2"
77,900,510,389.34,49,"Left","Left","Left","Gaze shift","Congruent",1,"su2"
31,100,510,401.25,50,"Left","Left","Left","Head shift","Congruent",1,"su2"
87,500,510,372.56,51,"Left","Right","Left","Gaze shift","Incongruent",1,"su2"
71,900,510,321.56,52,"Left","Right","Left","Head shift","Incongruent",1,"su2"
21,500,510,354.06,53,"Left","Right","Left","Head shift","Incongruent",1,"su2"
52,500,510,345.55,54,"Right","Left","Right","Gaze shift","Incongruent",1,"su2"
68,100,510,352.97,55,"Right","Right","Right","Head shift","Congruent",1,"su2"
82,500,510,302.98,56,"Right","Left","Right","Head shift","Incongruent",1,"su2"
