ID,Validity,Time,Stim,Resp,Cond
1,Valid,0.267,Right,2,1
1,Invalid,0.258,Right,2,2
1,Valid,0.165,Right,2,1
1,Invalid,0.316,Right,2,2
1,Invalid,0.333,Right,2,2
1,Valid,0.227,Right,2,1
1,Invalid,0.308,Left,2,2
1,Invalid,0.374,Left,2,2
1,Valid,0.289,Left,2,1
1,Valid,0.289,Right,2,1
1,Valid,0.297,Right,1,1
1,Valid,0.323,Left,2,1
1,Invalid,0.362,Right,2,2
1,Valid,0.281,Right,2,1
1,Valid,0.313,Left,2,1
1,Valid,0.358,Left,2,1
1,Valid,0.396,Left,2,1
1,Invalid,0.318,Left,2,2
1,Invalid,0.355,Right,2,2
1,Invalid,0.347,Left,2,2
1,Invalid,0.274,Right,2,2
1,Valid,0.285,Right,2,1
1,Invalid,0.311,Right,2,2
1,Invalid,0.255,Left,2,2
1,Valid,0.319,Right,2,1
1,Invalid,0.437,Left,2,2
1,Invalid,0.33,Left,2,2
1,Invalid,0.392,Right,2,2
1,Valid,0.349,Left,2,1
1,Valid,0.284,Left,2,1
1,Valid,0.351,Right,2,1
1,Invalid,0.548,Right,2,2
1,Invalid,0.298,Left,2,2
1,Invalid,0.347,Left,2,2
1,Invalid,0.339,Left,2,2
1,Valid,0.305,Left,2,1
1,Valid,0.305,Right,2,1
1,Valid,0.55,Left,2,1
1,Invalid,0.428,Left,2,2
1,Invalid,0.317,Left,2,2
1,Valid,0.318,Left,2,1
1,Invalid,0.439,Right,2,2
1,Valid,0.243,Right,2,1
1,Invalid,0.299,Right,2,2
1,Invalid,0.443,Right,2,2
1,Valid,0.365,Left,2,1
1,Valid,0.288,Right,2,1
1,Valid,0.288,Right,2,1
1,Invalid,0.274,Right,2,2
1,Valid,0.227,Right,2,1
1,Invalid,0.334,Right,2,2
1,Invalid,0.29,Left,2,2
1,Valid,0.258,Left,2,1
1,Invalid,0.246,Left,2,2
1,Valid,0.265,Right,2,1
1,Valid,0.236,Left,2,1
1,Valid,0.448,Left,2,1
1,Valid,0.338,Left,2,1
1,Valid,0.294,Right,2,1
1,Invalid,0.385,Right,2,2
1,Valid,0.301,Right,2,1
1,Invalid,0.39,Left,2,2
1,Invalid,0.321,Right,2,2
1,Invalid,0.568,Right,2,2
1,Invalid,0.461,Left,2,2
1,Invalid,0.296,Right,2,2
1,Invalid,0.352,Left,2,2
1,Valid,0.359,Right,2,1
1,Valid,0.354,Left,2,1
