name_condition__	condition_name	KEY_PRESS_TIME	DISPLAY_ON_TIME	stimulus	emotion	gaze_direct	targ_code	trial_type	RESPONSE_ACCURACY	RESPONSE_TIME	orientation	pict1t	pict2t	pict3t	block	name_trial__	pict1	pict2	pict3	targ	expected_answer	jitter	KEY_PRESS	task
2	angry_cong	81440.17	80945.31	M27	angry	L	LT	C	hit	494	up	300	100	400	3	1226	M27_n_s.bmp	M27_n_l.bmp	M27_n_l_t.bmp	LL.bmp	Down	600	Down	localization
3	happy_cong	83007.42	82578.57	M27	happy	L	LT	C	hit	428	up	300	100	100	3	1219	M27_n_s.bmp	M27_n_l.bmp	M27_h_l.bmp	LL.bmp	Down	500	Down	localization
5	fear_incong	84798.66	84461.84	M3b	fear	R	LT	I	hit	336	up	300	100	400	3	1373	M3b_n_s.bmp	M3b_n_r.bmp	M3b_f_r.bmp	LL.bmp	Down	500	Down	localization
1	fear_cong	86903.01	86578.45	M6	fear	R	RT	C	hit	324	up	300	100	400	3	1129	M6_n_s.bmp	M6_n_r.bmp	M6_f_r.bmp	LR.bmp	Up	800	Up	localization
7	happy_incong	89079.12	88678.37	M20b	happy	L	RT	I	hit	400	up	300	100	400	3	1423	M20b_n_s.bmp	M20b_n_l.bmp	M20b_h_l.bmp	TR.bmp	Up	800	Up	localization
5	fear_incong	90911.74	90444.98	M22b	fear	R	LT	I	hit	466	up	300	100	100	3	1301	M22b_n_s.bmp	M22b_n_r.bmp	M22b_f_r.bmp	TL.bmp	Down	700	Down	localization
4	neutral_cong	92727.26	92378.24	M3	neutral	R	RT	C	hit	349	up	300	100	100	3	1108	M3_n_s.bmp	M3_n_r.bmp	M3_n_r.bmp	LR.bmp	Up	800	Up	localization
1	fear_cong	94342.40	93994.86	M24	fear	R	RT	C	hit	347	up	300	100	100	3	1073	M24_n_s.bmp	M24_n_r.bmp	M24_f_r.bmp	TR.bmp	Up	600	Up	localization
8	neutral_incong	96158.71	95794.80	M27b	neutral	L	RT	I	hit	363	up	300	100	100	3	1464	M27b_n_s.bmp	M27b_n_l.bmp	M27b_n_l.bmp	TR.bmp	Up	800	Up	localization
2	angry_cong	97870.86	97628.07	M20b	angry	L	LT	C	hit	242	up	300	100	400	3	1418	M20b_n_s.bmp	M20b_n_l.bmp	M20b_n_l_t.bmp	TL.bmp	Down	500	Down	localization
6	angry_incong	99887.93	99544.66	M9	angry	R	LT	I	hit	343	up	300	100	400	3	1150	M9_n_s.bmp	M9_n_r.bmp	M9_n_r_t.bmp	LL.bmp	Down	700	Down	localization
7	happy_incong	101440.17	101044.62	M3	happy	R	LT	I	hit	395	up	300	100	100	3	1111	M3_n_s.bmp	M3_n_r.bmp	M3_h_r.bmp	LL.bmp	Down	500	Down	localization
8	neutral_incong	103526.35	103194.53	M22	neutral	R	LT	I	hit	331	up	300	100	400	3	1072	M22_n_s.bmp	M22_n_r.bmp	M22_n_r.bmp	TL.bmp	Down	800	Down	localization
5	fear_incong	105406.76	104994.49	M20b	fear	L	RT	I	error	412	up	300	100	100	3	1413	M20b_n_s.bmp	M20b_n_l.bmp	M20b_f_l.bmp	TR.bmp	Up	800	Down	localization
2	angry_cong	107143.19	106577.76	M9	angry	R	RT	C	error	565	up	300	100	100	3	1138	M9_n_s.bmp	M9_n_r.bmp	M9_n_r_t.bmp	LR.bmp	Up	500	Down	localization
2	angry_cong	108975.58	108611.03	M20	angry	L	LT	C	hit	364	up	300	100	400	3	1178	M20_n_s.bmp	M20_n_l.bmp	M20_n_l_t.bmp	TL.bmp	Down	500	Down	localization
8	neutral_incong	110887.73	110627.63	M3	neutral	L	RT	I	hit	260	up	300	100	400	3	1248	M3_n_s.bmp	M3_n_l.bmp	M3_n_l.bmp	LR.bmp	Up	700	Up	localization
7	happy_incong	112614.26	112160.90	M2	happy	L	RT	I	hit	453	up	300	100	100	3	1159	M2_n_s.bmp	M2_n_l.bmp	M2_h_l.bmp	TR.bmp	Up	600	Up	localization
7	happy_incong	114390.23	113994.18	M27	happy	L	RT	I	hit	396	up	300	100	100	3	1223	M27_n_s.bmp	M27_n_l.bmp	M27_h_l.bmp	LR.bmp	Up	700	Up	localization
3	happy_cong	115982.81	115644.12	M9b	happy	R	RT	C	hit	338	up	300	100	100	3	1395	M9b_n_s.bmp	M9b_n_r.bmp	M9b_h_r.bmp	LR.bmp	Up	600	Up	localization
8	neutral_incong	118118.75	117744.04	M2	neutral	R	LT	I	hit	374	up	300	100	400	3	1040	M2_n_s.bmp	M2_n_r.bmp	M2_n_r.bmp	TL.bmp	Down	800	Down	localization
5	fear_incong	120134.48	119793.97	M27	fear	L	RT	I	hit	340	up	300	100	400	3	1229	M27_n_s.bmp	M27_n_l.bmp	M27_f_l.bmp	LR.bmp	Up	700	Up	localization
4	neutral_cong	121951.35	121593.92	M9	neutral	L	LT	C	error	357	up	300	100	100	3	1268	M9_n_s.bmp	M9_n_l.bmp	M9_n_l.bmp	LL.bmp	Down	800	Up	localization
5	fear_incong	123896.08	123510.51	M6b	fear	R	LT	I	error	385	up	300	100	400	3	1389	M6b_n_s.bmp	M6b_n_r.bmp	M6b_f_r.bmp	LL.bmp	Down	600	Up	localization
8	neutral_incong	126086.89	125560.45	M20	neutral	L	RT	I	hit	526	up	300	100	400	3	1184	M20_n_s.bmp	M20_n_l.bmp	M20_n_l.bmp	TR.bmp	Up	700	Up	localization
