name_condition__	condition_name	KEY_PRESS_TIME	DISPLAY_ON_TIME	stimulus	emotion	gaze_direct	targ_code	trial_type	RESPONSE_ACCURACY	RESPONSE_TIME	orientation	pict1t	pict2t	pict3t	block	name_trial__	pict1	pict2	pict3	targ	expected_answer	jitter	KEY_PRESS	task
6	angry_incong	139560.35	139012.68	M9b	angry	R	LT	I	error	547	up	300	100	400	3	1406	M9b_n_s.bmp	M9b_n_r.bmp	M9b_n_r_t.bmp	LL.bmp	Up	700	Down	localization
4	neutral_cong	141943.83	141129.28	M2b	neutral	R	RT	C	error	814	up	300	100	400	3	1356	M2b_n_s.bmp	M2b_n_r.bmp	M2b_n_r.bmp	LR.bmp	Down	600	Up	localization
4	neutral_cong	144174.78	143695.87	M3	neutral	R	RT	C	error	478	up	300	100	400	3	1116	M3_n_s.bmp	M3_n_r.bmp	M3_n_r.bmp	LR.bmp	Down	800	Up	localization
5	fear_incong	146254.69	145645.80	M9	fear	L	RT	I	hit	608	up	300	100	400	3	1277	M9_n_s.bmp	M9_n_l.bmp	M9_f_l.bmp	LR.bmp	Down	500	Down	localization
4	neutral_cong	148495.19	148012.39	M9	neutral	L	LT	C	error	482	up	300	100	400	3	1276	M9_n_s.bmp	M9_n_l.bmp	M9_n_l.bmp	LL.bmp	Up	800	Down	localization
8	neutral_incong	150262.88	149845.65	M20	neutral	L	RT	I	error	417	up	300	100	100	3	1176	M20_n_s.bmp	M20_n_l.bmp	M20_n_l.bmp	TR.bmp	Down	700	Up	localization
2	angry_cong	152583.20	152028.93	M3	angry	R	RT	C	hit	554	up	300	100	400	3	1114	M3_n_s.bmp	M3_n_r.bmp	M3_n_r_t.bmp	LR.bmp	Down	800	Down	localization
6	angry_incong	154600.04	154062.18	M2b	angry	R	LT	I	error	537	up	300	100	100	3	1350	M2b_n_s.bmp	M2b_n_r.bmp	M2b_n_r_t.bmp	LL.bmp	Up	800	Down	localization
7	happy_incong	156326.70	155862.12	M2b	happy	L	RT	I	hit	464	up	300	100	100	3	1479	M2b_n_s.bmp	M2b_n_l.bmp	M2b_h_l.bmp	LR.bmp	Down	600	Down	localization
8	neutral_incong	158160.28	157695.40	M9b	neutral	R	LT	I	error	464	up	300	100	100	3	1400	M9b_n_s.bmp	M9b_n_r.bmp	M9b_n_r.bmp	LL.bmp	Up	700	Down	localization
1	fear_cong	160304.10	159928.66	M27	fear	R	RT	C	error	375	up	300	100	400	3	1097	M27_n_s.bmp	M27_n_r.bmp	M27_f_r.bmp	LR.bmp	Down	800	Up	localization
4	neutral_cong	162439.61	162061.93	M20b	neutral	R	RT	C	error	377	up	300	100	400	3	1292	M20b_n_s.bmp	M20b_n_r.bmp	M20b_n_r.bmp	TR.bmp	Down	800	Up	localization
6	angry_incong	164174.59	163695.19	M24	angry	L	RT	I	error	479	up	300	100	100	3	1206	M24_n_s.bmp	M24_n_l.bmp	M24_n_l_t.bmp	TR.bmp	Down	600	Up	localization
4	neutral_cong	165991.41	165628.47	M24b	neutral	R	RT	C	error	362	up	300	100	400	3	1324	M24b_n_s.bmp	M24b_n_r.bmp	M24b_n_r.bmp	TR.bmp	Down	500	Up	localization
2	angry_cong	168262.70	167761.72	M3b	angry	R	RT	C	error	500	up	300	100	400	3	1370	M3b_n_s.bmp	M3b_n_r.bmp	M3b_n_r_t.bmp	LR.bmp	Down	800	Up	localization
5	fear_incong	170207.56	169728.33	M20b	fear	L	RT	I	error	479	up	300	100	100	3	1413	M20b_n_s.bmp	M20b_n_l.bmp	M20b_f_l.bmp	TR.bmp	Down	800	Up	localization
1	fear_cong	172126.79	171678.26	M2b	fear	L	LT	C	error	448	up	300	100	100	3	1473	M2b_n_s.bmp	M2b_n_l.bmp	M2b_f_l.bmp	LL.bmp	Up	800	Down	localization
1	fear_cong	174088.30	173678.20	M3	fear	L	LT	C	error	410	up	300	100	400	3	1241	M3_n_s.bmp	M3_n_l.bmp	M3_f_l.bmp	LL.bmp	Up	600	Down	localization
5	fear_incong	176046.80	175561.47	M20	fear	R	LT	I	error	485	up	300	100	400	3	1053	M20_n_s.bmp	M20_n_r.bmp	M20_f_r.bmp	TL.bmp	Up	500	Down	localization
5	fear_incong	178022.98	177511.41	M24	fear	L	RT	I	error	511	up	300	100	400	3	1213	M24_n_s.bmp	M24_n_l.bmp	M24_f_l.bmp	TR.bmp	Down	500	Up	localization
4	neutral_cong	179687.90	179278.01	M22b	neutral	R	RT	C	error	409	up	300	100	100	3	1300	M22b_n_s.bmp	M22b_n_r.bmp	M22b_n_r.bmp	TR.bmp	Down	600	Up	localization
4	neutral_cong	181672.16	181144.61	M24b	neutral	L	LT	C	error	527	up	300	100	100	3	1444	M24b_n_s.bmp	M24b_n_l.bmp	M24b_n_l.bmp	TL.bmp	Up	800	Down	localization
6	angry_incong	183790.60	183444.53	M6	angry	L	RT	I	error	346	up	300	100	400	3	1262	M6_n_s.bmp	M6_n_l.bmp	M6_n_l_t.bmp	LR.bmp	Down	800	Up	localization
2	angry_cong	185822.67	185461.14	M27b	angry	R	RT	C	error	361	up	300	100	400	3	1338	M27b_n_s.bmp	M27b_n_r.bmp	M27b_n_r_t.bmp	TR.bmp	Down	700	Up	localization
8	neutral_incong	187638.94	187194.41	M3b	neutral	L	RT	I	error	444	up	300	100	100	3	1496	M3b_n_s.bmp	M3b_n_l.bmp	M3b_n_l.bmp	LR.bmp	Down	700	Up	localization
1	fear_cong	189712.06	189394.34	M6b	fear	R	RT	C	error	317	up	300	100	400	3	1385	M6b_n_s.bmp	M6b_n_r.bmp	M6b_f_r.bmp	LR.bmp	Down	800	Up	localization
7	happy_incong	191871.04	191477.61	M3b	happy	L	RT	I	error	393	up	300	100	400	3	1503	M3b_n_s.bmp	M3b_n_l.bmp	M3b_h_l.bmp	LR.bmp	Down	800	Up	localization
2	angry_cong	193712.29	193144.22	M27b	angry	L	LT	C	error	568	up	300	100	100	3	1458	M27b_n_s.bmp	M27b_n_l.bmp	M27b_n_l_t.bmp	TL.bmp	Up	600	Down	localization
5	fear_incong	195719.68	195177.49	M9	fear	R	LT	I	error	542	up	300	100	100	3	1141	M9_n_s.bmp	M9_n_r.bmp	M9_f_r.bmp	LL.bmp	Up	800	Down	localization
8	neutral_incong	197743.74	197277.41	M9b	neutral	L	RT	I	error	466	up	300	100	400	3	1536	M9b_n_s.bmp	M9b_n_l.bmp	M9b_n_l.bmp	LR.bmp	Down	600	Up	localization
6	angry_incong	199623.64	199110.69	M24	angry	R	LT	I	error	512	up	300	100	100	3	1078	M24_n_s.bmp	M24_n_r.bmp	M24_n_r_t.bmp	TL.bmp	Up	700	Down	localization
7	happy_incong	201504.07	200893.96	M22	happy	L	RT	I	error	610	up	300	100	100	3	1191	M22_n_s.bmp	M22_n_l.bmp	M22_h_l.bmp	TR.bmp	Down	600	Up	localization
1	fear_cong	203135.59	202760.57	M24b	fear	R	RT	C	error	375	up	300	100	100	3	1313	M24b_n_s.bmp	M24b_n_r.bmp	M24b_f_r.bmp	TR.bmp	Down	600	Up	localization
3	happy_cong	204951.35	204510.51	M3b	happy	R	RT	C	error	440	up	300	100	100	3	1363	M3b_n_s.bmp	M3b_n_r.bmp	M3b_h_r.bmp	LR.bmp	Down	700	Up	localization
5	fear_incong	206926.95	206127.12	M20	fear	R	LT	I	error	799	up	300	100	100	3	1045	M20_n_s.bmp	M20_n_r.bmp	M20_f_r.bmp	TL.bmp	Up	500	Down	localization
6	angry_incong	208854.70	208493.72	M24b	angry	L	RT	I	error	360	up	300	100	400	3	1454	M24b_n_s.bmp	M24b_n_l.bmp	M24b_n_l_t.bmp	TR.bmp	Down	600	Up	localization
2	angry_cong	211038.74	210310.32	M24b	angry	L	LT	C	error	728	up	300	100	100	3	1442	M24b_n_s.bmp	M24b_n_l.bmp	M24b_n_l_t.bmp	TL.bmp	Up	800	Down	localization
3	happy_cong	212976.25	212410.24	M20b	happy	R	RT	C	error	566	up	300	100	100	3	1283	M20b_n_s.bmp	M20b_n_r.bmp	M20b_h_r.bmp	TR.bmp	Down	700	Up	localization
5	fear_incong	214815.52	214343.51	M6b	fear	L	RT	I	hit	472	up	300	100	100	3	1509	M6b_n_s.bmp	M6b_n_l.bmp	M6b_f_l.bmp	LR.bmp	Down	700	Down	localization
8	neutral_incong	216880.47	216376.78	M20	neutral	R	LT	I	hit	503	up	300	100	400	3	1056	M20_n_s.bmp	M20_n_r.bmp	M20_n_r.bmp	TL.bmp	Up	600	Up	localization
1	fear_cong	219071.36	218560.03	M9b	fear	L	LT	C	error	511	up	300	100	400	3	1529	M9b_n_s.bmp	M9b_n_l.bmp	M9b_f_l.bmp	LL.bmp	Up	700	Down	localization
2	angry_cong	220904.33	220543.30	M9	angry	R	RT	C	error	361	up	300	100	400	3	1146	M9_n_s.bmp	M9_n_r.bmp	M9_n_r_t.bmp	LR.bmp	Down	500	Up	localization
1	fear_cong	222767.76	222276.59	M9b	fear	L	LT	C	error	491	up	300	100	100	3	1521	M9b_n_s.bmp	M9b_n_l.bmp	M9b_f_l.bmp	LL.bmp	Up	700	Down	localization
5	fear_incong	225056.08	224443.18	M6	fear	L	RT	I	error	612	up	300	100	400	3	1261	M6_n_s.bmp	M6_n_l.bmp	M6_f_l.bmp	LR.bmp	Down	700	Up	localization
4	neutral_cong	227007.26	226226.45	M20b	neutral	L	LT	C	error	780	up	300	100	100	3	1412	M20b_n_s.bmp	M20b_n_l.bmp	M20b_n_l.bmp	TL.bmp	Up	500	Down	localization
8	neutral_incong	228936.44	228459.72	M2	neutral	R	LT	I	error	476	up	300	100	100	3	1032	M2_n_s.bmp	M2_n_r.bmp	M2_n_r.bmp	TL.bmp	Up	800	Down	localization
2	angry_cong	231048.46	230592.97	M22	angry	L	LT	C	error	455	up	300	100	400	3	1194	M22_n_s.bmp	M22_n_l.bmp	M22_n_l_t.bmp	TL.bmp	Up	700	Down	localization
5	fear_incong	232967.77	232509.57	M20b	fear	R	LT	I	error	458	up	300	100	400	3	1293	M20b_n_s.bmp	M20b_n_r.bmp	M20b_f_r.bmp	TL.bmp	Up	500	Down	localization
6	angry_incong	235047.47	234426.18	M22b	angry	R	LT	I	hit	621	up	300	100	100	3	1302	M22b_n_s.bmp	M22b_n_r.bmp	M22b_n_r_t.bmp	TL.bmp	Up	800	Up	localization
6	angry_incong	237015.28	236409.45	M3	angry	L	RT	I	hit	605	up	300	100	100	3	1238	M3_n_s.bmp	M3_n_l.bmp	M3_n_l_t.bmp	LR.bmp	Down	700	Down	localization
6	angry_incong	238950.86	238376.05	M20b	angry	L	RT	I	hit	574	up	300	100	100	3	1414	M20b_n_s.bmp	M20b_n_l.bmp	M20b_n_l_t.bmp	TR.bmp	Down	700	Down	localization
7	happy_incong	240719.60	240125.98	M20	happy	R	LT	I	error	593	up	300	100	100	3	1047	M20_n_s.bmp	M20_n_r.bmp	M20_h_r.bmp	TL.bmp	Up	500	Down	localization
2	angry_cong	242751.94	242392.57	M6b	angry	R	RT	C	error	359	up	300	100	400	3	1386	M6b_n_s.bmp	M6b_n_r.bmp	M6b_n_r_t.bmp	LR.bmp	Down	700	Up	localization
1	fear_cong	244751.19	244309.18	M9b	fear	R	RT	C	error	442	up	300	100	400	3	1401	M9b_n_s.bmp	M9b_n_r.bmp	M9b_f_r.bmp	LR.bmp	Down	600	Up	localization
1	fear_cong	246647.79	246025.80	M3b	fear	L	LT	C	error	621	up	300	100	100	3	1489	M3b_n_s.bmp	M3b_n_l.bmp	M3b_f_l.bmp	LL.bmp	Up	600	Down	localization
6	angry_incong	248687.09	248309.05	M9	angry	R	LT	I	error	378	up	300	100	400	3	1150	M9_n_s.bmp	M9_n_r.bmp	M9_n_r_t.bmp	LL.bmp	Up	700	Down	localization
7	happy_incong	250640.22	250242.32	M27	happy	R	LT	I	error	397	up	300	100	400	3	1103	M27_n_s.bmp	M27_n_r.bmp	M27_h_r.bmp	LL.bmp	Up	600	Down	localization
5	fear_incong	252512.03	252092.27	M3	fear	R	LT	I	error	419	up	300	100	400	3	1117	M3_n_s.bmp	M3_n_r.bmp	M3_f_r.bmp	LL.bmp	Up	500	Down	localization
