name_condition__	condition_name	KEY_PRESS_TIME	DISPLAY_ON_TIME	stimulus	emotion	gaze_direct	targ_code	trial_type	RESPONSE_ACCURACY	RESPONSE_TIME	orientation	pict1t	pict2t	pict3t	block	name_trial__	pict1	pict2	pict3	targ	expected_answer	jitter	KEY_PRESS	task
4	neutral_cong	260797.18	260164.07	M3b	neutral	L	LT	C	error	633	up	300	100	100	3	1492	M3b_n_s.bmp	M3b_n_l.bmp	M3b_n_l.bmp	LL.bmp	Up	500	Down	localization
4	neutral_cong	0	262147.34	M22	neutral	L	LT	C	miss	0	up	300	100	100	3	1188	M22_n_s.bmp	M22_n_l.bmp	M22_n_l.bmp	TL.bmp	Up	700	.	localization
8	neutral_incong	0	264897.26	M20b	neutral	R	LT	I	miss	0	up	300	100	400	3	1296	M20b_n_s.bmp	M20b_n_r.bmp	M20b_n_r.bmp	TL.bmp	Up	600	.	localization
1	fear_cong	268276.07	267763.82	M20b	fear	R	RT	C	hit	512	up	300	100	400	3	1289	M20b_n_s.bmp	M20b_n_r.bmp	M20b_f_r.bmp	TR.bmp	Down	700	Down	localization
8	neutral_incong	270060.85	269530.43	M3	neutral	R	LT	I	error	530	up	300	100	100	3	1112	M3_n_s.bmp	M3_n_r.bmp	M3_n_r.bmp	LL.bmp	Up	600	Down	localization
7	happy_incong	272045.67	271613.70	M27	happy	R	LT	I	error	431	up	300	100	400	3	1103	M27_n_s.bmp	M27_n_r.bmp	M27_h_r.bmp	LL.bmp	Up	600	Down	localization
1	fear_cong	273877.44	273496.97	M6	fear	L	LT	C	error	380	up	300	100	400	3	1257	M6_n_s.bmp	M6_n_l.bmp	M6_f_l.bmp	LL.bmp	Up	500	Down	localization
7	happy_incong	275733.03	275230.24	M6	happy	L	RT	I	error	502	up	300	100	100	3	1255	M6_n_s.bmp	M6_n_l.bmp	M6_h_l.bmp	LR.bmp	Down	700	Up	localization
5	fear_incong	277685.42	277096.86	M2	fear	R	LT	I	error	588	up	300	100	100	3	1029	M2_n_s.bmp	M2_n_r.bmp	M2_f_r.bmp	TL.bmp	Up	700	Down	localization
5	fear_incong	279516.63	279146.78	M20b	fear	R	LT	I	error	369	up	300	100	400	3	1293	M20b_n_s.bmp	M20b_n_r.bmp	M20b_f_r.bmp	TL.bmp	Up	500	Down	localization
6	angry_incong	281461.94	281080.05	M24b	angry	L	RT	I	error	381	up	300	100	400	3	1454	M24b_n_s.bmp	M24b_n_l.bmp	M24b_n_l_t.bmp	TR.bmp	Down	600	Up	localization
3	happy_cong	283342.03	282929.98	M22	happy	L	LT	C	error	412	up	300	100	100	3	1187	M22_n_s.bmp	M22_n_l.bmp	M22_h_l.bmp	TL.bmp	Up	800	Down	localization
8	neutral_incong	285205.59	284813.26	M2b	neutral	L	RT	I	error	392	up	300	100	400	3	1488	M2b_n_s.bmp	M2b_n_l.bmp	M2b_n_l.bmp	LR.bmp	Down	500	Up	localization
1	fear_cong	287244.61	286963.20	M22b	fear	L	LT	C	error	281	up	300	100	400	3	1433	M22b_n_s.bmp	M22b_n_l.bmp	M22b_f_l.bmp	TL.bmp	Up	800	Down	localization
6	angry_incong	289469.56	289013.12	M6b	angry	L	RT	I	error	456	up	300	100	400	3	1518	M6b_n_s.bmp	M6b_n_l.bmp	M6b_n_l_t.bmp	LR.bmp	Down	800	Up	localization
4	neutral_cong	291204.12	290629.74	M24	neutral	R	RT	C	error	574	up	300	100	100	3	1076	M24_n_s.bmp	M24_n_r.bmp	M24_n_r.bmp	TR.bmp	Down	500	Up	localization
4	neutral_cong	292861.06	292463.00	M6	neutral	L	LT	C	error	398	up	300	100	100	3	1252	M6_n_s.bmp	M6_n_l.bmp	M6_n_l.bmp	LL.bmp	Up	600	Down	localization
3	happy_cong	294540.86	294212.94	M9b	happy	L	LT	C	error	327	up	300	100	100	3	1523	M9b_n_s.bmp	M9b_n_l.bmp	M9b_h_l.bmp	LL.bmp	Up	700	Down	localization
5	fear_incong	296476.91	295996.22	M9	fear	R	LT	I	error	480	up	300	100	100	3	1141	M9_n_s.bmp	M9_n_r.bmp	M9_f_r.bmp	LL.bmp	Up	800	Down	localization
7	happy_incong	298493.57	298146.16	M22b	happy	R	LT	I	error	347	up	300	100	400	3	1311	M22b_n_s.bmp	M22b_n_r.bmp	M22b_h_r.bmp	TL.bmp	Up	700	Down	localization
2	angry_cong	300444.83	299962.76	M3b	angry	R	RT	C	error	482	up	300	100	100	3	1362	M3b_n_s.bmp	M3b_n_r.bmp	M3b_n_r_t.bmp	LR.bmp	Down	800	Up	localization
7	happy_incong	302173.78	301712.69	M6	happy	R	LT	I	error	461	up	300	100	100	3	1127	M6_n_s.bmp	M6_n_r.bmp	M6_h_r.bmp	LL.bmp	Up	600	Down	localization
7	happy_incong	303741.23	303329.32	M3b	happy	R	LT	I	error	411	up	300	100	100	3	1367	M3b_n_s.bmp	M3b_n_r.bmp	M3b_h_r.bmp	LL.bmp	Up	500	Down	localization
7	happy_incong	305540.53	305112.59	M27b	happy	L	RT	I	error	427	up	300	100	100	3	1463	M27b_n_s.bmp	M27b_n_l.bmp	M27b_h_l.bmp	TR.bmp	Down	700	Up	localization
5	fear_incong	307316.84	306812.53	M6	fear	R	LT	I	error	504	up	300	100	100	3	1125	M6_n_s.bmp	M6_n_r.bmp	M6_f_r.bmp	LL.bmp	Up	600	Down	localization
1	fear_cong	309324.42	309079.12	M6b	fear	R	RT	C	error	245	up	300	100	400	3	1385	M6b_n_s.bmp	M6b_n_r.bmp	M6b_f_r.bmp	LR.bmp	Down	800	Up	localization
7	happy_incong	310836.36	310579.07	M2b	happy	L	RT	I	hit	257	up	300	100	100	3	1479	M2b_n_s.bmp	M2b_n_l.bmp	M2b_h_l.bmp	LR.bmp	Down	600	Down	localization
3	happy_cong	313020.09	312495.67	M3b	happy	R	RT	C	error	524	up	300	100	400	3	1371	M3b_n_s.bmp	M3b_n_r.bmp	M3b_h_r.bmp	LR.bmp	Down	700	Up	localization
8	neutral_incong	314781.52	314378.94	M24b	neutral	R	LT	I	error	402	up	300	100	100	3	1320	M24b_n_s.bmp	M24b_n_r.bmp	M24b_n_r.bmp	TL.bmp	Up	700	Down	localization
